0	0	0.4
0	0	0.45
0	0	0.52
0	0	0.58
0	0	0.62
0	0	0.68
0	0	0.74
0	0	0.78
0	0	0.82
0	0	0.86
0	0	0.9
0	0.08	0.94
0	0.16	0.94
0	0.24	0.86
0	0.32	0.78
0	0.4	0.74
0	0.48	0.7
0	0.56	0.62
0	0.64	0.54
0	0.72	0.46
0	0.8	0.38
0.05	0.88	0.3
0.1	0.9	0.22
0.15	0.9	0.14
0.2	0.86	0
0.25	0.82	0
0.3	0.78	0
0.35	0.74	0
0.4	0.7	0
0.45	0.66	0
0.5	0.62	0
0.55	0.58	0
0.6	0.52	0
0.65	0.46	0
0.7	0.4	0
0.75	0.34	0
0.8	0.28	0
0.85	0.14	0
0.9	0	0
0.95	0.1	0
1	0.2	0
1	0.25	0
1	0.3	0
1	0.35	0
1	0.4	0
1	0.45	0
1	0.5	0
1	0.55	0
1	0.6	0.0625
1	0.65	0.125
1	0.7	0.1875
1	0.75	0.25
1	0.8	0.3125
1	0.85	0.375
1	0.9	0.4375
1	1	0.5
1	1	0.5625
1	1	0.625
1	1	0.6875
1	1	0.75
1	1	0.8125
1	1	0.875
1	1	0.9375
1	1	1
